iteration, added, updated, ignored, duration[s], overall, 27841.9
440, 6, 55, 129, 102.589
441, 8, 48, 128, 98.9177
442, 6, 51, 120, 103.723
443, 4, 49, 95, 101.969
444, 6, 47, 108, 104.168
445, 10, 48, 122, 107.244
446, 8, 48, 121, 104.114
447, 13, 46, 139, 108.957
448, 8, 50, 154, 103.006
449, 4, 48, 147, 101.528
450, 5, 57, 154, 102.877
451, 3, 46, 142, 102.913
452, 3, 40, 131, 104.411
453, 5, 32, 130, 106.025
454, 10, 36, 118, 105.657
455, 9, 32, 110, 106.84
456, 24, 47, 98, 109.693
457, 24, 63, 89, 108.327
458, 16, 77, 125, 111.258
459, 23, 82, 128, 109.245
460, 14, 99, 115, 109.316
461, 27, 107, 144, 108.648
462, 14, 126, 138, 106.11
463, 11, 134, 146, 108.765
464, 8, 124, 149, 108.338
465, 7, 115, 175, 106.912
466, 15, 104, 157, 107.532
467, 12, 110, 176, 108.447
468, 11, 109, 172, 106.015
469, 7, 93, 186, 107.894
470, 2, 90, 158, 103.767
471, 2, 82, 166, 102.62
472, 0, 72, 177, 100.886
473, 1, 53, 126, 102.325
474, 0, 21, 69, 101.687
475, 0, 105, 87, 101.645
476, 0, 132, 82, 101.536
477, 0, 145, 74, 101.957
478, 0, 142, 59, 101.871
479, 0, 151, 54, 102.033
480, 0, 171, 180, 102.046
481, 0, 162, 118, 102.234
482, 1, 192, 103, 102.56
483, 2, 134, 70, 103.07
484, 12, 93, 64, 104.284
485, 19, 90, 67, 108.577
486, 19, 90, 72, 107.653
487, 16, 96, 78, 106.099
488, 10, 84, 85, 104.884
489, 9, 95, 93, 107.179
490, 19, 108, 107, 106.964
491, 9, 112, 125, 108.058
492, 21, 107, 141, 108.213
493, 16, 117, 152, 107.292
494, 10, 112, 143, 106.581
495, 8, 97, 134, 106.875
496, 13, 94, 102, 108.96
497, 11, 103, 109, 107.379
498, 10, 115, 131, 108.011
499, 8, 103, 153, 109.318s 
